// Each line beginning with "note" represents a MidiMessage in the log.
// Each line contains message values in the following order:
// "note", command,   channel,    data1,       data2,  timeStamp
// "note", ON or OFF, instrument, pitch value, volume, startBeat*tempo or endBeat*tempo

note ON 1 64 72 0
note OFF 1 64 72 400000
note ON 1 55 70 0
note OFF 1 55 70 1400000
note ON 1 62 72 400000
note OFF 1 62 72 800000
note ON 1 60 71 800000
note OFF 1 60 71 1200000
note ON 1 62 79 1200000
note OFF 1 62 79 1600000
note ON 1 55 79 1600000
note OFF 1 55 79 3000000
note ON 1 64 85 1600000
note OFF 1 64 85 2000000
note ON 1 64 78 2000000
note OFF 1 64 78 2400000
note ON 1 64 74 2400000
note OFF 1 64 74 3000000
note ON 1 55 77 3200000
note OFF 1 55 77 4800000
note ON 1 62 75 3200000
note OFF 1 62 75 3600000
note ON 1 62 77 3600000
note OFF 1 62 77 4000000
note ON 1 62 75 4000000
note OFF 1 62 75 4800000
note ON 1 55 79 4800000
note OFF 1 55 79 5200000
note ON 1 64 82 4800000
note OFF 1 64 82 5200000
note ON 1 67 84 5200000
note OFF 1 67 84 5600000
note ON 1 67 75 5600000
note OFF 1 67 75 6400000
note ON 1 55 78 6400000
note OFF 1 55 78 8000000
note ON 1 64 73 6400000
note OFF 1 64 73 6800000
note ON 1 62 69 6800000
note OFF 1 62 69 7200000
note ON 1 60 71 7200000
note OFF 1 60 71 7600000
note ON 1 62 80 7600000
note OFF 1 62 80 8000000
note ON 1 55 79 8000000
note OFF 1 55 79 9600000
note ON 1 64 84 8000000
note OFF 1 64 84 8400000
note ON 1 64 76 8400000
note OFF 1 64 76 8800000
note ON 1 64 74 8800000
note OFF 1 64 74 9200000
note ON 1 64 77 9200000
note OFF 1 64 77 9600000
note ON 1 55 78 9600000
note OFF 1 55 78 11200000
note ON 1 62 75 9600000
note OFF 1 62 75 10000000
note ON 1 62 74 10000000
note OFF 1 62 74 10400000
note ON 1 64 81 10400000
note OFF 1 64 81 10800000
note ON 1 62 70 10800000
note OFF 1 62 70 11200000
note ON 1 52 72 11200000
note OFF 1 52 72 12800000
note ON 1 60 73 11200000
note OFF 1 60 73 12800000
